t_s,H_m,P_bar
0.0,100.0,9.81
0.007386104890572937,98.42401776884685,9.655396143123877
0.014772209781145873,96.8480355376937,9.500792286247751
0.02215831467171881,95.27205330654056,9.346188429371628
0.029544419562291747,93.69607107538741,9.191584572495506
0.03693052445286468,92.12008884423426,9.03698071561938
0.04431662934343762,90.54410661308111,8.882376858743257
0.051702734234010554,88.96812438192796,8.727773001867133
0.05908883912458349,87.39214215077482,8.57316914499101
0.06647494401515643,85.81615991962167,8.418565288114886
0.07386104890572937,84.24017768846852,8.263961431238762
0.0812471537963023,82.66419545731537,8.109357574362638
0.08863325868687524,81.08821322616222,7.954753717486514
0.09601936357744818,79.51223099500908,7.80014986061039
0.10340546846802111,77.93624876385593,7.645546003734267
0.11079157335859405,76.36026653270278,7.490942146858142
0.11817767824916699,74.78428430154963,7.336338289982018
0.12556378313973993,73.20830207039648,7.181734433105896
0.13294988803031285,71.63231983924334,7.027130576229772
0.1403359929208858,70.05633760809019,6.8725267193536475
0.14772209781145873,68.48035537693704,6.717922862477524
0.15510820270203168,66.9043731457839,6.5633190056014
0.1624943075926046,65.32839091463075,6.408715148725276
0.16988041248317753,63.7524086834776,6.254111291849152
0.1772665173737505,62.17642645232445,6.099507434973029
0.1846526222643234,60.6004442211713,5.944903578096904
0.19203872715489637,59.02446199001815,5.790299721220781
0.1994248320454693,57.448479758865005,5.635695864344657
0.20681093693604222,55.87249752771186,5.481092007468534
0.21419704182661517,54.29651529655871,5.326488150592409
0.2215831467171881,52.72053306540556,5.171884293716285
0.22896925160776105,51.14455083425241,5.017280436840162
0.23635535649833397,49.568568603099266,4.862676579964038
0.2437414613889069,47.99258637194612,4.7080727230879145
0.25112756627947985,46.41660414079297,4.553468866211791
0.2585136711700528,44.84062190963982,4.398865009335666
0.2658997760606257,43.264639678486674,4.244261152459543
0.27328588095119866,41.688657447333526,4.089657295583419
0.2806719858417716,40.11267521618038,3.935053438707295
0.2880580907323445,38.53669298502723,3.7804495818311716
0.29544419562291746,36.96071075387408,3.6258457249550475
0.3028303005134904,35.384728522720934,3.4712418680789234
0.31021640540406337,33.808746291567786,3.3166380112027998
0.31760251029463626,32.23276406041464,3.162034154326676
0.3249886151852092,30.65678182926149,3.0074302974505525
0.33237472007578217,29.080799598108342,2.8528264405744284
0.33976082496635507,27.504817366955194,2.6982225836983043
0.347146929856928,25.928835135802046,2.5436187268221806
0.354533034747501,24.3528529046489,2.389014869946057
0.3619191396380739,22.77687067349575,2.2344110130699333
0.3693052445286468,21.200888442342603,2.079807156193809
0.3766913494192198,19.624906211189455,1.9252032993176855
0.38407745430979273,18.048923980036307,1.7705994424415616
0.39146355920036563,16.47294174888316,1.6159955855654378
0.3988496640909386,14.89695951773001,1.461391728689314
0.40623576898151154,13.320977286576863,1.3067878718131902
0.41362187387208443,11.744995055423715,1.1521840149370663
0.4210079787626574,10.169012824270567,0.9975801580609426
0.42839408365323034,8.593030593117419,0.8429763011848187
0.43578018854380324,7.017048361964271,0.6883724443086949
0.4431662934343762,5.441066130811123,0.5337685874325712
0.45055239832494914,3.865083899657975,0.37916473055644734
0.4579385032155221,2.289101668504827,0.22456087368032354
0.465324608106095,2.0,0.1962
0.47271071299666795,2.0,0.1962
0.4800968178872409,2.0,0.1962
0.4874829227778138,2.0,0.1962
0.49486902766838675,2.0,0.1962
0.5022551325589597,2.0,0.1962
0.5096412374495326,2.0,0.1962
0.5170273423401056,2.0,0.1962
0.5244134472306785,2.0,0.1962
0.5317995521212514,2.0,0.1962
0.5391856570118244,2.0,0.1962
0.5465717619023973,2.0,0.1962
0.5539578667929702,2.0,0.1962
0.5613439716835432,2.0,0.1962
0.5687300765741161,2.0,0.1962
0.576116181464689,2.0,0.1962
0.583502286355262,2.0,0.1962
0.5908883912458349,2.0,0.1962
0.5982744961364078,2.0,0.1962
0.6056606010269808,2.0,0.1962
0.6130467059175537,2.0,0.1962
0.6204328108081267,2.0,0.1962
0.6278189156986996,2.0,0.1962
0.6352050205892725,2.0,0.1962
0.6425911254798455,2.0,0.1962
0.6499772303704184,2.0,0.1962
0.6573633352609913,2.0,0.1962
0.6647494401515643,2.0,0.1962
0.6721355450421372,2.0,0.1962
0.6795216499327101,2.0,0.1962
0.6869077548232831,2.0,0.1962
0.694293859713856,2.0,0.1962
0.7016799646044289,2.0,0.1962
0.709066069495002,2.0,0.1962
0.7164521743855748,2.0,0.1962
0.7238382792761477,2.0,0.1962
0.7312243841667208,2.0,0.1962
0.7386104890572937,2.0,0.1962
0.7459965939478667,2.0,0.1962
0.7533826988384396,2.0,0.1962
0.7607688037290125,2.0,0.1962
0.7681549086195855,2.0,0.1962
0.7755410135101584,2.0,0.1962
0.7829271184007313,2.0,0.1962
0.7903132232913043,2.0,0.1962
0.7976993281818772,2.0,0.1962
0.8050854330724501,2.0,0.1962
0.8124715379630231,2.0,0.1962
0.819857642853596,2.0,0.1962
0.8272437477441689,2.0,0.1962
0.8346298526347419,2.0,0.1962
0.8420159575253148,2.0,0.1962
0.8494020624158877,2.0,0.1962
0.8567881673064607,2.0,0.1962
0.8641742721970336,2.0,0.1962
0.8715603770876065,2.0,0.1962
0.8789464819781795,2.0,0.1962
0.8863325868687524,2.0,0.1962
0.8937186917593254,2.0,0.1962
0.9011047966498983,2.0,0.1962
0.9084909015404712,2.0,0.1962
0.9158770064310442,2.0,0.1962
0.9232631113216171,2.0,0.1962
0.93064921621219,2.0,0.1962
0.938035321102763,2.0,0.1962
0.9454214259933359,2.0,0.1962
0.9528075308839088,2.0,0.1962
