s_m,hmin_m,hmax_m,cav_any
0.0,100.0,100.0,False
10.0,3.168810264362037,132.31317832936952,False
20.0,2.0,163.51941606701996,False
30.0,2.0,193.68344198644934,False
40.0,2.0,223.00216018721056,False
50.0,2.0,252.26312363795813,False
60.0,2.0,280.1030640993598,False
70.0,2.0,306.85005600298234,False
80.0,2.0,332.683826525576,False
90.0,2.0,357.7108650343261,False
100.0,2.0,382.0008322498593,False
110.0,2.0,405.60430541578967,False
120.0,2.0,428.5614863312783,False
130.0,2.0,450.90652012007166,False
140.0,2.0,472.6696753532229,False
150.0,2.0,494.0560576509191,False
160.0,2.0,514.9613379307941,False
170.0,2.0,535.3302570269527,False
180.0,2.0,555.1970851923514,False
190.0,2.0,574.5887275635297,False
200.0,2.0,593.5722648852939,False
210.0,2.0,612.0590398958893,False
220.0,2.0,630.1275076476584,False
230.0,2.0,647.8232672934024,False
240.0,2.0,665.1378789484995,False
250.0,2.0,682.086277872236,False
260.0,2.0,699.169036753866,False
270.0,2.0,715.7930073388649,False
280.0,2.0,731.8945859643909,False
290.0,2.0,747.5858840564038,False
300.0,2.0,762.9273481616116,False
310.0,2.0,777.9538238166474,False
320.0,2.0,792.6873376759661,False
330.0,2.0,807.1433814813533,False
340.0,2.0,821.3340107768856,False
350.0,2.0,835.2693801642215,False
360.0,2.0,848.9585101581981,False
370.0,2.0,862.409675784123,False
380.0,2.0,875.6306085128117,False
390.0,2.0,888.6286057005502,False
400.0,2.0,901.4439247754441,False
410.0,2.0,914.4649761152219,False
420.0,2.0,927.0495600649101,False
430.0,2.0,939.3221495536768,False
440.0,2.0,951.3468454084714,False
450.0,2.0,963.157912103404,False
460.0,2.0,974.7747990145871,False
470.0,2.0,986.2095437466054,False
480.0,2.0,997.4704267811293,False
490.0,2.0,1008.5637790806177,False
500.0,2.0,1012.679843792773,False
510.0,2.0,1012.4218285360032,False
520.0,2.0,1012.1638127047768,False
530.0,2.0,1011.9058936385255,False
540.0,2.0,1011.6481197964426,False
550.0,2.0,1011.402902058745,False
560.0,2.0,1011.5445219022399,False
570.0,2.0,1011.488973523079,False
580.0,2.0,1011.3345606415098,False
590.0,2.0,1011.1306052002151,False
600.0,2.0,1010.9018669484966,False
610.0,2.0,1010.6607785279621,False
620.0,2.0,1010.4135833759399,False
630.0,2.0,1010.1634168269289,False
640.0,2.0,1009.9118532264968,False
650.0,2.0,1009.6596829091716,False
660.0,2.0,1009.407302427376,False
670.0,2.0,1009.1549105428976,False
680.0,2.0,1008.9026066727197,False
690.0,2.0,1008.6504403351785,False
700.0,2.0,1008.3984359854826,False
710.0,2.0,1008.3808310811535,False
720.0,2.0,1008.4186105427134,False
730.0,2.0,1008.3138171604669,False
740.0,2.0,1008.1375438065539,False
750.0,2.0,1007.9254706054147,False
760.0,2.0,1007.6955116504528,False
770.0,2.0,1007.456662699398,False
780.0,2.0,1007.2134412984849,False
790.0,2.0,1006.9681160051248,False
800.0,2.0,1006.7218258410066,False
810.0,2.0,1006.4751425031857,False
820.0,2.0,1006.2283527395937,False
830.0,2.0,1005.9816001757674,False
840.0,2.0,1005.7349565525066,False
850.0,2.0,1005.4884575031288,False
860.0,2.0,1005.2421205229633,False
870.0,2.0,1005.2633031880503,False
880.0,2.0,1005.2904751370223,False
890.0,2.0,1005.1831664184975,False
900.0,2.0,1005.0084348150244,False
910.0,2.0,1004.7999368038875,False
920.0,2.0,1004.5745708209713,False
930.0,2.0,1004.3408226737932,False
940.0,2.0,1004.1029538282273,False
950.0,2.0,1003.863104241826,False
960.0,2.0,1003.6223483588474,False
970.0,2.0,1003.3812254553171,False
980.0,2.0,1003.1400060096892,False
990.0,2.0,1002.8988254908882,False
1000.0,2.0,1002.6577515575777,False
1010.0,2.0,1002.4168178035296,False
1020.0,2.0,1002.1760407165308,False
1030.0,2.0,1002.0307526538147,False
1040.0,2.0,1002.1486800448452,False
1050.0,2.0,1002.0896736212758,False
1060.0,2.0,1001.9419421748357,False
1070.0,2.0,1001.7497476727085,False
1080.0,2.0,1001.5353109317937,False
1090.0,2.0,1001.3097899628947,False
1100.0,2.0,1001.07878814937,False
1110.0,2.0,1000.8451194054398,False
1120.0,2.0,1000.6101966812176,False
1130.0,2.0,1000.3747292878904,False
1140.0,2.0,1000.1390731237966,False
1150.0,2.0,999.9034065752528,False
1160.0,2.0,999.6678188697431,False
1170.0,2.0,999.4323544498943,False
1180.0,2.0,999.1970352670069,False
1190.0,2.0,998.961871976411,False
1200.0,2.0,998.8367296040867,False
1210.0,2.0,998.9531820035473,False
1220.0,2.0,998.8962179799807,False
1230.0,2.0,998.7522901375223,False
