cruce_id,nombre,s_m,z_m,hmin_m,hmax_m,pmin_mca,pmax_mca,pmin_bar,pmax_bar,hvap_m,margen_cavitacion_mca,cavita,is_overpressure,is_underpressure,is_cavitation,criterio_gobierno
C1,Estero Salto de Agua,1748.0,208.7497678440226,227.96143047799046,240.33722695046526,19.211662633967848,31.58745910644265,1.8846641043922459,3.098729738342024,-10.0,29.211662633967848,False,False,True,False,depresion
C2,Canal 1,365.0,197.72000273885834,226.1362816985099,245.8661044469635,28.41627895965155,48.146101708105164,2.787636965941817,4.723132577565117,-10.0,38.41627895965155,False,True,False,False,sobrepresion
C3,Canal 2,1465.0,205.4481594857089,226.85757478711866,242.2311544357903,21.40941530140975,36.78299495008139,2.1002636410682967,3.6084118046029845,-10.0,31.40941530140975,False,False,False,False,ninguno
C4,Estero 3,2160.0,206.53253310509953,229.45020046527702,237.77444864201732,22.91766736017749,31.241915536917787,2.248223168033412,3.0648319141716347,-10.0,32.91766736017749,False,False,False,False,ninguno
