t_s,H_m,P_bar
0.0,65.0,6.3765
0.00017878416710964904,65.0,6.3765
0.0003575683342192981,65.0,6.3765
0.0005363525013289471,65.0,6.3765
0.0007151366684385961,65.0,6.3765
0.0008939208355482452,65.0,6.3765
0.0010727050026578943,65.0,6.3765
0.0012514891697675433,65.0,6.3765
0.0014302733368771923,65.0,6.3765
0.0016090575039868413,65.0,6.3765
0.0017878416710964903,65.0,6.3765
0.0019666258382061395,65.0,6.3765
0.0021454100053157885,65.0,6.3765
0.0023241941724254376,65.0,6.3765
0.0025029783395350866,65.0,6.3765
0.0026817625066447356,65.0,6.3765
0.0028605466737543846,65.0,6.3765
0.0030393308408640336,65.0,6.3765
0.0032181150079736826,65.0,6.3765
0.0033968991750833316,65.0,6.3765
0.0035756833421929806,65.0,6.3765
0.0037544675093026296,65.0,6.3765
0.003933251676412279,65.0,6.3765
0.004112035843521928,65.0,6.3765
0.004290820010631577,65.0,6.3765
0.004469604177741226,65.0,6.3765
0.004648388344850875,65.0,6.3765
0.004827172511960524,65.0,6.3765
0.005005956679070173,65.0,6.3765
0.005184740846179822,65.0,6.3765
0.005363525013289471,65.0,6.3765
0.00554230918039912,65.0,6.3765
0.005721093347508769,65.0,6.3765
0.005899877514618419,65.0,6.3765
0.006078661681728067,65.0,6.3765
0.006257445848837717,65.0,6.3765
0.006436230015947365,65.0,6.3765
0.006615014183057015,65.0,6.3765
0.006793798350166663,65.0,6.3765
0.006972582517276313,65.0,6.3765
0.007151366684385961,65.0,6.3765
0.007330150851495611,65.0,6.3765
0.007508935018605259,65.0,6.3765
0.007687719185714909,65.0,6.3765
0.007866503352824558,65.0,6.3765
0.008045287519934207,65.0,6.3765
0.008224071687043855,65.0,6.3765
0.008402855854153504,65.0,6.3765
0.008581640021263154,65.0,6.3765
0.008760424188372803,65.0,6.3765
0.008939208355482451,65.0,6.3765
0.009117992522592102,65.0,6.3765
0.00929677668970175,65.0,6.3765
0.009475560856811399,65.0,6.3765
0.009654345023921047,65.0,6.3765
0.009833129191030698,65.0,6.3765
0.010011913358140346,65.0,6.3765
0.010190697525249995,65.0,6.3765
0.010369481692359643,65.0,6.3765
0.010548265859469294,65.0,6.3765
0.010727050026578942,65.0,6.3765
0.010905834193688591,65.0,6.3765
0.01108461836079824,65.0,6.3765
0.01126340252790789,65.0,6.3765
